AMW	= "countries/Fronts.txt"
AZQ	= "countries/Efiopia.txt"
FPS	= "countries/Bomshi.txt"
GLE	= "countries/Gloria.txt"
GPL	= "countries/Aplema.txt"
GPS	= "countries/Arakia.txt"
KVQ	= "countries/Ameba.txt"
KRO	= "countries/Krosaud.txt"
WJG	= "countries/Winograd.txt"
LYT	= "countries/Lytshi.txt"
COP	= "countries/Qwert.txt"
MKA	= "countries/Brack.txt"
BOB	= "countries/Bread.txt"
LOK	= "countries/Lakaj.txt"
MIV	= "countries/Nekord.txt"
DGN	= "countries/Zombie.txt"
DFT	= "countries/Defenger.txt"
LGZ	= "countries/Kommunaki.txt"
HUO	= "countries/Hunta.txt"
NAK	= "countries/Nrakatan.txt"
LGF	= "countries/Gobi.txt"


#NOTE: Useful to add a basic default loc entry for each tag in 00_countries.txt so that hovering over a tag will show the tag's name in loc (ie. PAP: "Papal States")
